state,fiscal_year,accounting_program_description,amount
Connecticut,2015,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),284.0
Connecticut,2015,"INCOME LOSS - MILK, PART 2",22002.370000000003
Connecticut,2015,MARGIN PROTECTION PROGRAM - DAIRY,106.0
Connecticut,2015,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,4499.0
Connecticut,2015,TREE ASSISTANCE PROGRAM,5517.0
Connecticut,2016,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,29134.0
Connecticut,2016,AGRICULTURAL RISK COVERAGE PROG - COUNTY,626944.0
Connecticut,2016,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),61.0
Connecticut,2016,MARGIN PROTECTION PROGRAM - DAIRY,27299.0
Connecticut,2016,TREE ASSISTANCE PROGRAM,19436.0
Connecticut,2017,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,51956.0
Connecticut,2017,AGRICULTURAL RISK COVERAGE PROG - COUNTY,480486.0
Connecticut,2017,LIVESTOCK FORAGE PROGRAM,2669.0
Connecticut,2017,MARGIN PROTECTION PROGRAM - DAIRY,884.0
Connecticut,2017,PRICE LOSS COVERAGE PROGRAM,39249.0
Connecticut,2017,TREE ASSISTANCE PROGRAM,16297.0
Connecticut,2018,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,10972.0
Connecticut,2018,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,17383.0
Connecticut,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,102425.0
Connecticut,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,263325.0
Connecticut,2018,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),90985.0
Connecticut,2018,LIVESTOCK FORAGE PROGRAM,145.0
Connecticut,2018,MARGIN PROTECTION PROGRAM - DAIRY,929669.0
Connecticut,2018,PRICE LOSS COVERAGE PROGRAM,36588.0
Connecticut,2018,PRICE LOSS COVERAGE PROGRAM,116029.0
Connecticut,2019,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,12750.0
Connecticut,2019,AGRICULTURAL RISK COVERAGE PROG - COUNTY,118120.0
Connecticut,2019,DAIRY MARGIN COVERAGE PROGRAM,858778.6699999999
Connecticut,2019,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),61491.0
Connecticut,2019,MARGIN PROTECTION  - DAIRY,11719.0
Connecticut,2019,MARGIN PROTECTION PROGRAM - DAIRY,33563.0
Connecticut,2019,PRICE LOSS COVERAGE PROGRAM,149181.0
Connecticut,2019,TREE ASSISTANCE PROGRAM,12555.0
Connecticut,2020,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,8342.0
Connecticut,2020,AGRICULTURAL RISK COVERAGE PROG - COUNTY,92227.0
Connecticut,2020,DAIRY MARGIN COVERAGE,255469.50999999998
Connecticut,2020,DAIRY MARGIN COVERAGE PROGRAM,44681.26
Connecticut,2020,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),93548.0
Connecticut,2020,PRICE LOSS COVERAGE PROGRAM,41064.0
Connecticut,2021,AGRICULTURAL RISK COVERAGE PROG - COUNTY,1901.44
Connecticut,2021,DAIRY MARGIN COVERAGE,2485983.77
Connecticut,2021,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),35059.0
Connecticut,2021,LIVESTOCK FORAGE PROGRAM,94326.0
Connecticut,2021,PRICE LOSS COVERAGE PROGRAM,121390.72
Connecticut,2022,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,1400.0
Connecticut,2022,AGRICULTURAL RISK COVERAGE PROG - COUNTY,6844.0
Connecticut,2022,DAIRY MARGIN COVERAGE,1183935.0799999994
Connecticut,2022,LIVESTOCK INDEMNITY PROGRAM,1697.0
Connecticut,2022,PRICE LOSS COVERAGE PROGRAM,166.0
Delaware,2005,EWE LAMB REPLACEMENT OR RETENTION,522.0
Delaware,2006,"INCOME LOSS - MILK, PART 2",310153.74
Delaware,2007,"INCOME LOSS - MILK, PART 2",155263.14999999997
Delaware,2008,DIRECT AND COUNTER CYCLICAL PROG,722703.0
Delaware,2008,LOAN DEFICIENCY,189.81
Delaware,2009,DIRECT AND COUNTER CYCLICAL PROG,4814598.0
Delaware,2009,LOAN DEFICIENCY,312.0
Delaware,2009,MILK INCOME LOSS CONTRACT II,605244.81
Delaware,2010,ACRE DIRECT PAYMENTS,896715.71
Delaware,2010,DCP PROGRAM - DIRECT PAYMENTS,4618347.779999999
Delaware,2010,LIVESTOCK INDEMNITY PAYMENTS,3559.0
Delaware,2010,LIVESTOCK INDEMNITY PROGRAM,36426.549999999996
Delaware,2010,MILK INCOME LOSS CONTRACT II,176228.47999999998
Delaware,2010,SUPL REVENUE ASSISTANCE RECOVERY ACT,1324040.0
Delaware,2010,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,2152403.0
Delaware,2011,ACRE DIRECT PAYMENTS,760724.0
Delaware,2011,ACRE PAYMENTS,1268562.0
Delaware,2011,AVERAGE CROP REVENUE ELECTION-ACRE,538354.0
Delaware,2011,AVERAGE CROP REVENUE ELECTION-DIRECT,64460.0
Delaware,2011,DCP - DIRECT,351070.32
Delaware,2011,DCP PROGRAM - DIRECT PAYMENTS,3736993.0
Delaware,2011,LIVESTOCK INDEMNITY PROGRAM,12192.0
Delaware,2011,SUPL REVENUE ASSISTANCE - RECOVERY ACT,30651.0
Delaware,2011,SUPL REVENUE ASSISTANCE RECOVERY ACT,291156.0
Delaware,2011,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,551825.0
Delaware,2012,AVERAGE CROP REVENUE ELECTION-ACRE,306018.0
Delaware,2012,AVERAGE CROP REVENUE ELECTION-DIRECT,770741.0
Delaware,2012,DCP - DIRECT,3785743.0
Delaware,2012,LIVESTOCK INDEMNITY PROGRAM,16716.0
Delaware,2012,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,336296.91000000003
Delaware,2013,AVERAGE CROP REVENUE ELECTION-DIRECT,4271.0
Delaware,2013,DCP - DIRECT,12015.0
Delaware,2013,"INCOME LOSS - MILK, PART 2",209410.84000000008
Delaware,2013,INDEMNITY PAYMENT - DAIRY,23426.96
Delaware,2013,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,986480.23
Delaware,2014,AVERAGE CROP REVENUE ELECTION-DIRECT,861937.0
Delaware,2014,DCP - DIRECT,3455589.31
Delaware,2014,"INCOME LOSS - MILK, PART 2",483.08000000000004
Delaware,2014,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,51032.0
Delaware,2015,AVERAGE CROP REVENUE ELECTION-ACRE,50.0
Delaware,2015,AVERAGE CROP REVENUE ELECTION-DIRECT,9130.0
Delaware,2015,DCP - DIRECT,1255.0
Delaware,2016,AGRICULTURAL RISK COVERAGE PROG - COUNTY,4997.0
Delaware,2016,AVERAGE CROP REVENUE ELECTION-DIRECT,2935.0
Delaware,2016,MARGIN PROTECTION PROGRAM - DAIRY,2314.0
Delaware,2016,TREE ASSISTANCE PROGRAM,4624.0
Delaware,2017,AGRICULTURAL RISK COVERAGE PROG - COUNTY,7342744.3
Delaware,2017,PRICE LOSS COVERAGE PROGRAM,825163.0
Delaware,2018,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,8415.0
Delaware,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,263756.0
Delaware,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,9710467.83
Delaware,2018,MARGIN PROTECTION PROGRAM - DAIRY,340487.0
Delaware,2018,PRICE LOSS COVERAGE PROGRAM,68920.0
Delaware,2018,PRICE LOSS COVERAGE PROGRAM,2119713.0
Delaware,2018,TREE ASSISTANCE PROGRAM,2905.0
Delaware,2019,AGRICULTURAL RISK COVERAGE PROG - COUNTY,267298.02
Delaware,2019,DAIRY MARGIN COVERAGE PROGRAM,232743.93
Delaware,2019,MARGIN PROTECTION PROGRAM - DAIRY,18332.0
Delaware,2019,PRICE LOSS COVERAGE PROGRAM,1325744.04
Delaware,2020,AGRICULTURAL RISK COVERAGE PROG - COUNTY,5948677.0
Delaware,2020,DAIRY MARGIN COVERAGE,127276.48
Delaware,2020,DAIRY MARGIN COVERAGE PROGRAM,18176.33
Delaware,2020,PRICE LOSS COVERAGE PROGRAM,697714.99
Delaware,2021,AGRICULTURAL RISK COVERAGE PROG - COUNTY,1533793.0
Delaware,2021,DAIRY MARGIN COVERAGE,489676.16000000003
Delaware,2021,PRICE LOSS COVERAGE PROGRAM,3330486.7800000003
Delaware,2022,AGRICULTURAL RISK COVERAGE PROG - COUNTY,15769.0
Delaware,2022,DAIRY MARGIN COVERAGE,228119.7
Delaware,2022,PRICE LOSS COVERAGE PROGRAM,962895.0
Florida,2005,EWE LAMB REPLACEMENT OR RETENTION,11808.0
Florida,2005,LIVESTOCK ASSISTANCE PROGRAM,603137.0
Florida,2006,EWE LAMB REPLACEMENT OR RETENTION,306.0
Florida,2006,"INCOME LOSS - MILK, PART 2",2339011.9299999997
Florida,2006,LIVESTOCK ASSISTANCE PROGRAM,4908777.499999999
Florida,2007,"INCOME LOSS - MILK, PART 2",838564.0499999998
Florida,2008,01-02 CROP DISASTER ASSISTANCE PROGRAM,21791.0
Florida,2008,05 - 07 LIVESTOCK INDEMNITY PROGRAM,1494.0
Florida,2008,DIRECT AND COUNTER CYCLICAL PROG,9388254.0
Florida,2008,"INCOME LOSS - MILK, PART 2",14040.659999999998
Florida,2008,TREE ASSISTANCE PROGRAM - HURRICANE,15472.75
Florida,2008,TREE ASSISTANCE PROGRAM - TIMBER,250582.0
Florida,2009,DCP PROGRAM - DIRECT PAYMENTS,1897.0
Florida,2009,DIRECT AND COUNTER CYCLICAL PROG,14776832.0
Florida,2009,LIVESTOCK INDEMNITY PROGRAM,5728.0
Florida,2009,LOAN DEFICIENCY,1669033.77
Florida,2009,MILK INCOME LOSS CONTRACT II,4530779.749999999
Florida,2009,TREE ASSISTANCE PROGRAM - HURRICANE,67582.52
Florida,2010,DAIRY INDEMNITY PROGRAM,4164.32
Florida,2010,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,1257858.52
Florida,2010,DCP PROGRAM - DIRECT PAYMENTS,11571845.14
Florida,2010,DIRECT AND COUNTER CYCLICAL PROG,5991150.57
Florida,2010,"EMERGENCY ASSISTANCE LIVESTOCK, HONEYBEE, FISH",2874632.72
Florida,2010,LIVESTOCK FORAGE DISASTER  PROGRAM,8425912.360000001
Florida,2010,LIVESTOCK INDEMNITY PAYMENTS,47691.0
Florida,2010,LIVESTOCK INDEMNITY PROGRAM,83834.4
Florida,2010,LOAN DEFICIENCY,2242.88
Florida,2010,MILK INCOME LOSS CONTRACT II,1138474.0300000003
Florida,2010,SUPL REVENUE ASSISTANCE RECOVERY ACT,4371787.0
Florida,2010,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,3607893.0
Florida,2010,TREE ASSISTANCE PROGRAM,427543.0
Florida,2011,DCP - COUNTER CYCLICAL,417521.82
Florida,2011,DCP - DIRECT,1490686.87
Florida,2011,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,2793240.87
Florida,2011,DCP PROGRAM - DIRECT PAYMENTS,8173805.0
Florida,2011,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),1364851.7
Florida,2011,"EMERGENCY ASSISTANCE LIVESTOCK, HONEYBEE, FISH",316325.55999999994
Florida,2011,LIVESTOCK FORAGE DISASTER  PROGRAM,272770.82
Florida,2011,LIVESTOCK FORAGE DISASTER PROGRAM,8413953.219999999
Florida,2011,LIVESTOCK INDEMNITY PAYMENTS,1894.0
Florida,2011,LIVESTOCK INDEMNITY PROGRAM,87620.0
Florida,2011,MILK INCOME LOSS CONTRACT II,43208.149999999994
Florida,2011,SUPL REVENUE ASSISTANCE - RECOVERY ACT,481042.0
Florida,2011,SUPL REVENUE ASSISTANCE RECOVERY ACT,2954994.0
Florida,2011,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,7022618.0
Florida,2011,TREE ASSISTANCE PROGRAM,4651880.0
Florida,2012,DCP - COUNTER CYCLICAL,647744.52
Florida,2012,DCP - DIRECT,7898068.550000001
Florida,2012,LIVESTOCK FORAGE DISASTER PROGRAM,1225816.0
Florida,2012,LIVESTOCK INDEMNITY PROGRAM,18766.0
Florida,2012,SUPL REVENUE ASSISTANCE - RECOVERY ACT,63260.0
Florida,2012,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,3353563.0
Florida,2012,TREE ASSISTANCE PROGRAM,1372166.23
Florida,2013,DCP - COUNTER CYCLICAL,872.0
Florida,2013,DCP - DIRECT,729397.85
Florida,2013,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),8487.0
Florida,2013,"INCOME LOSS - MILK, PART 2",1526289.1900000004
Florida,2013,LIVESTOCK FORAGE DISASTER PROGRAM,9553.0
Florida,2013,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,6009506.35
Florida,2013,TREE ASSISTANCE PROGRAM,310544.0
Florida,2014,DCP - COUNTER CYCLICAL,2409.0
Florida,2014,DCP - DIRECT,8530951.34
Florida,2014,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),16787.0
Florida,2014,"INCOME LOSS - MILK, PART 2",13673.75
Florida,2014,INDEMNITY PAYMENT - DAIRY,12170.07
Florida,2014,LIVESTOCK FORAGE PROGRAM,31062679.82
Florida,2014,LIVESTOCK INDEMNITY PROGRAM,228614.0
Florida,2014,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,317194.75
Florida,2014,TREE ASSISTANCE PROGRAM,959021.0
Florida,2014,TREE ASSISTANCE PROGRAM - RECOVERY ACT,3890.0
Florida,2015,COTTON TRANSITION ASSISTANCE PROGRAM,3362034.84
Florida,2015,DCP - DIRECT,31405.0
Florida,2015,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),4716693.0
Florida,2015,"INCOME LOSS - MILK, PART 2",124.39
Florida,2015,LIVESTOCK FORAGE PROGRAM,23293438.119999997
Florida,2015,LIVESTOCK INDEMNITY PROGRAM,122864.0
Florida,2015,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,324475.0
Florida,2015,TREE ASSISTANCE PROGRAM,4641140.0
Florida,2015,TREE ASSISTANCE PROGRAM - RECOVERY ACT,3890.0
Florida,2016,AGRICULTURAL RISK COVERAGE PROG - COUNTY,1184902.0
Florida,2016,COTTON TRANSITION ASSISTANCE PROGRAM,57905.0
Florida,2016,DCP - COUNTER CYCLICAL,1115.0
Florida,2016,DCP - DIRECT,72914.0
Florida,2016,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),2891801.0
Florida,2016,LIVESTOCK FORAGE PROGRAM,2034089.0
Florida,2016,LIVESTOCK INDEMNITY PROGRAM,115483.0
Florida,2016,MARGIN PROTECTION PROGRAM - DAIRY,95848.49
Florida,2016,PRICE LOSS COVERAGE PROGRAM,20766741.790000003
Florida,2016,TREE ASSISTANCE PROGRAM,5559822.3
Florida,2017,AGRICULTURAL RISK COVERAGE PROG - COUNTY,1884613.0
Florida,2017,COTTON TRANSITION ASSISTANCE PROGRAM,23057.0
Florida,2017,DCP - DIRECT,23863.0
Florida,2017,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),2493367.0
Florida,2017,INDEMNITY PAYMENT - DAIRY,7702.68
Florida,2017,LIVESTOCK FORAGE PROGRAM,14708526.96
Florida,2017,LIVESTOCK INDEMNITY PROGRAM,138959.0
Florida,2017,PRICE LOSS COVERAGE PROGRAM,32668522.65
Florida,2017,TREE ASSISTANCE PROGRAM,2552000.0
Florida,2018,AGRICULTURAL RISK COVERAGE -COUNTY PILOT,37125.0
Florida,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,143455.0
Florida,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,1775011.0
Florida,2018,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),8741846.64
Florida,2018,INDEMNITY PAYMENT - DAIRY,1616.76
Florida,2018,LIVESTOCK FORAGE PROGRAM,4198018.57
Florida,2018,LIVESTOCK FORAGE PROGRAM,5547655.04
Florida,2018,LIVESTOCK INDEMNITY PROGRAM,189194.0
Florida,2018,LIVESTOCK INDEMNITY PROGRAM,154956.0
Florida,2018,MARGIN PROTECTION PROGRAM - DAIRY,828748.0
Florida,2018,PRICE LOSS COVERAGE PROGRAM,3399794.77
Florida,2018,PRICE LOSS COVERAGE PROGRAM,29207152.18
Florida,2018,TREE ASSISTANCE PROGRAM,4306591.0
Florida,2018,TREE ASSISTANCE PROGRAM,1907648.0
Florida,2019,AGRICULTURAL RISK COVERAGE PROG - COUNTY,549512.0
Florida,2019,DAIRY MARGIN COVERAGE PROGRAM,1259444.6099999999
Florida,2019,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),6104023.0
Florida,2019,LIVESTOCK FORAGE PROGRAM,106778.0
Florida,2019,LIVESTOCK INDEMNITY PROGRAM,92272.0
Florida,2019,MARGIN PROTECTION  - DAIRY,15701.0
Florida,2019,MARGIN PROTECTION PROGRAM - DAIRY,93386.65
Florida,2019,PRICE LOSS COVERAGE PROGRAM,18624021.509999998
Florida,2019,TREE ASSISTANCE PROGRAM,8494289.120000001
Florida,2020,AGRICULTURAL RISK COVERAGE PROG - COUNTY,467031.26
Florida,2020,DAIRY MARGIN COVERAGE,434631.05999999994
Florida,2020,DAIRY MARGIN COVERAGE PROGRAM,177910.87
Florida,2020,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),12877607.89
Florida,2020,INDEMNITY PAYMENT - DAIRY,7261.3
Florida,2020,LIVESTOCK FORAGE DISASTER PROGRAM,1.0
Florida,2020,LIVESTOCK FORAGE PROGRAM,924691.0
Florida,2020,LIVESTOCK INDEMNITY PROGRAM,205622.0
Florida,2020,PRICE LOSS COVERAGE PROGRAM,24250593.180000003
Florida,2020,TREE ASSISTANCE PROGRAM,4191779.9499999993
Florida,2021,AGRICULTURAL RISK COVERAGE PROG - COUNTY,530204.0
Florida,2021,DAIRY MARGIN COVERAGE,3226731.189999998
Florida,2021,DAIRY MARGIN COVERAGE PROGRAM,25404.23
Florida,2021,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),8892891.0
Florida,2021,LIVESTOCK FORAGE PROGRAM,54147.0
Florida,2021,LIVESTOCK INDEMNITY PROGRAM,51806.0
Florida,2021,PRICE LOSS COVERAGE PROGRAM,33865485.370000005
Florida,2021,TREE ASSISTANCE PROGRAM,3909754.0100000007
Florida,2022,AGRICULTURAL RISK COVERAGE PROG - COUNTY,189269.0
Florida,2022,DAIRY MARGIN COVERAGE,1652645.3599999992
Florida,2022,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),927408.0
Florida,2022,LIVESTOCK INDEMNITY PROGRAM,38614.0
Florida,2022,PRICE LOSS COVERAGE PROGRAM,29108031.72
Florida,2022,TREE ASSISTANCE PROGRAM,516119.76000000007
Georgia,2005,EWE LAMB REPLACEMENT OR RETENTION,10423.45
Georgia,2005,LIVESTOCK ASSISTANCE PROGRAM,3004842.0
Georgia,2006,EWE LAMB REPLACEMENT OR RETENTION,1600.55
Georgia,2006,INCOME LOSS - MILK,56.67
Georgia,2006,"INCOME LOSS - MILK, PART 2",3135355.7000000016
Georgia,2006,LIVESTOCK ASSISTANCE PROGRAM,6869816.350000002
Georgia,2007,"INCOME LOSS - MILK, PART 2",1196074.439999999
Georgia,2008,05 - 07 LIVESTOCK INDEMNITY PROGRAM,97798.0
Georgia,2008,DAIRY INDEMNITY PROGRAM,4485.53
Georgia,2008,DIRECT AND COUNTER CYCLICAL PROG,71006138.0
Georgia,2008,"INCOME LOSS - MILK, PART 2",5157.59
Georgia,2008,LOAN DEFICIENCY,1281.32
Georgia,2008,MILK INCOME LOSS CONTRACT II,775.36
Georgia,2008,TREE ASSISTANCE PROGRAM - TIMBER,11991.0
Georgia,2009,DAIRY INDEMNITY PROGRAM,44715.86
Georgia,2009,DCP PROGRAM - DIRECT PAYMENTS,5223.0
Georgia,2009,DIRECT AND COUNTER CYCLICAL PROG,151562227.0
Georgia,2009,LIVESTOCK INDEMNITY PROGRAM,27837.28
Georgia,2009,LOAN DEFICIENCY,42214585.54000002
Georgia,2009,MILK INCOME LOSS CONTRACT II,6307810.399999997
Georgia,2010,01-02 CROP DISASTER ASSISTANCE PROGRAM,18036.83
Georgia,2010,DAIRY INDEMNITY PROGRAM,24933.58
Georgia,2010,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,11565604.25
Georgia,2010,DCP PROGRAM - DIRECT PAYMENTS,111910931.07000002
Georgia,2010,DIRECT AND COUNTER CYCLICAL PROG,79891535.17
Georgia,2010,"EMERGENCY ASSISTANCE LIVESTOCK, HONEYBEE, FISH",366741.0
Georgia,2010,LIVESTOCK FORAGE DISASTER  PROGRAM,16291291.520000007
Georgia,2010,LIVESTOCK INDEMNITY PAYMENTS,32323.45
Georgia,2010,LIVESTOCK INDEMNITY PROGRAM,176435.51
Georgia,2010,LOAN DEFICIENCY,1326953.8300000005
Georgia,2010,MILK INCOME LOSS CONTRACT II,1691792.44
Georgia,2010,SUPL REVENUE ASSISTANCE RECOVERY ACT,2576782.25
Georgia,2010,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,2477238.98
Georgia,2010,TREE ASSISTANCE PROGRAM,6624.0
Georgia,2011,COUNTER CYCLICAL PAYMENT - UPLAND COTTON,29475.0
Georgia,2011,DCP - COUNTER CYCLICAL,2754165.83
Georgia,2011,DCP - DIRECT,14639817.27
Georgia,2011,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,20639752.0
Georgia,2011,DCP PROGRAM - DIRECT PAYMENTS,78431622.96000001
Georgia,2011,DIRECT AND COUNTER CYCLICAL PROG,2268.0
Georgia,2011,DIRECT PAYMENT - CORN,337.0
Georgia,2011,DIRECT PAYMENT - PEANUTS,1503.0
Georgia,2011,DIRECT PAYMENT - SORGHUM,62.0
Georgia,2011,DIRECT PAYMENT - SOYBEANS,48.0
Georgia,2011,DIRECT PAYMENT - UPLAND COTTON,5326.0
Georgia,2011,DIRECT PAYMENT - WHEAT,1208.0
Georgia,2011,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),55447.0
Georgia,2011,INDEMNITY PAYMENT - DAIRY,52615.14
Georgia,2011,LIVESTOCK FORAGE DISASTER PROGRAM,7898332.2
Georgia,2011,LIVESTOCK INDEMNITY PAYMENTS,33367.0
Georgia,2011,LIVESTOCK INDEMNITY PROGRAM,158777.0
Georgia,2011,LOAN DEFICIENCY,407.16
Georgia,2011,MILK INCOME LOSS CONTRACT II,4189.4800000000005
Georgia,2011,SUPL REVENUE ASSISTANCE - RECOVERY ACT,200855.52
Georgia,2011,SUPL REVENUE ASSISTANCE RECOVERY ACT,1200801.0
Georgia,2011,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,5731372.12
Georgia,2011,TREE ASSISTANCE PROGRAM,212799.0
Georgia,2012,DCP - COUNTER CYCLICAL,3441512.41
Georgia,2012,DCP - DIRECT,78890224.59
Georgia,2012,LIVESTOCK FORAGE DISASTER PROGRAM,2150614.0
Georgia,2012,LIVESTOCK INDEMNITY PROGRAM,26542.0
Georgia,2012,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,1008697.0
Georgia,2013,DCP - COUNTER CYCLICAL,783.0
Georgia,2013,DCP - DIRECT,198235.65
Georgia,2013,"INCOME LOSS - MILK, PART 2",2035618.0999999999
Georgia,2013,INDEMNITY PAYMENT - DAIRY,31269.87
Georgia,2013,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,30717186.87
Georgia,2014,AVERAGE CROP REVENUE ELECTION-DIRECT,275.0
Georgia,2014,DCP - COUNTER CYCLICAL,3924.0
Georgia,2014,DCP - DIRECT,85170357.58000001
Georgia,2014,"INCOME LOSS - MILK, PART 2",36671.72
Georgia,2014,INDEMNITY PAYMENT - DAIRY,62644.840000000004
Georgia,2014,LIVESTOCK FORAGE DISASTER PROGRAM,498.0
Georgia,2014,LIVESTOCK FORAGE PROGRAM,57095813.21
Georgia,2014,LIVESTOCK INDEMNITY PROGRAM,153367.0
Georgia,2014,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,166316.0
Georgia,2014,TREE ASSISTANCE PROGRAM,9129.0
Georgia,2015,COTTON TRANSITION ASSISTANCE PROGRAM,48921538.75
Georgia,2015,DCP - DIRECT,134549.0
Georgia,2015,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),2409496.0
Georgia,2015,INDEMNITY PAYMENT - DAIRY,119451.57999999999
Georgia,2015,LIVESTOCK FORAGE DISASTER PROGRAM,229.0
Georgia,2015,LIVESTOCK FORAGE PROGRAM,25107807.0
Georgia,2015,LIVESTOCK INDEMNITY PROGRAM,216334.0
Georgia,2015,MARGIN PROTECTION PROGRAM - DAIRY,3137.0
Georgia,2015,TREE ASSISTANCE PROGRAM,445692.0
Georgia,2016,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,470.0
Georgia,2016,AGRICULTURAL RISK COVERAGE PROG - COUNTY,23906658.630000003
Georgia,2016,COTTON TRANSITION ASSISTANCE PROGRAM,85302.0
Georgia,2016,DCP - DIRECT,18501.0
Georgia,2016,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),1567614.0
Georgia,2016,INDEMNITY PAYMENT - DAIRY,10415.93
Georgia,2016,LIVESTOCK FORAGE PROGRAM,6085745.0
Georgia,2016,LIVESTOCK INDEMNITY PROGRAM,50466.0
Georgia,2016,MARGIN PROTECTION PROGRAM - DAIRY,127186.0
Georgia,2016,PRICE LOSS COVERAGE PROGRAM,142423684.23000002
Georgia,2016,TREE ASSISTANCE PROGRAM,400485.0
Georgia,2017,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,970.0
Georgia,2017,AGRICULTURAL RISK COVERAGE PROG - COUNTY,30931807.32
Georgia,2017,COTTON TRANSITION ASSISTANCE PROGRAM,2958.0
Georgia,2017,DCP - DIRECT,33406.89
Georgia,2017,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),1407238.0
Georgia,2017,INDEMNITY PAYMENT - DAIRY,94999.70000000001
Georgia,2017,LIVESTOCK FORAGE DISASTER PROGRAM,9298.0
Georgia,2017,LIVESTOCK FORAGE PROGRAM,40204123.019999996
Georgia,2017,LIVESTOCK INDEMNITY PROGRAM,59939.0
Georgia,2017,MARGIN PROTECTION PROGRAM - DAIRY,28597.0
Georgia,2017,PRICE LOSS COVERAGE PROGRAM,240554626.31
Georgia,2017,TREE ASSISTANCE PROGRAM,60665.0
Georgia,2018,AGRICULTURAL RISK COVERAGE -COUNTY PILOT,363609.0
Georgia,2018,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,882.0
Georgia,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,375675.24
Georgia,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,35319481.160000004
Georgia,2018,DCP - DIRECT,398.0
Georgia,2018,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),3102481.27
Georgia,2018,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),5804.0
Georgia,2018,INDEMNITY PAYMENT - DAIRY,17086.92
Georgia,2018,LIVESTOCK FORAGE DISASTER PROGRAM,19.0
Georgia,2018,LIVESTOCK FORAGE PROGRAM,569015.47
Georgia,2018,LIVESTOCK FORAGE PROGRAM,1580419.63
Georgia,2018,LIVESTOCK INDEMNITY PROGRAM,57811.0
Georgia,2018,LIVESTOCK INDEMNITY PROGRAM,14162.0
Georgia,2018,MARGIN PROTECTION PROGRAM - DAIRY,1785318.0
Georgia,2018,PRICE LOSS COVERAGE PROGRAM,727165.47
Georgia,2018,PRICE LOSS COVERAGE PROGRAM,234204009.9
Georgia,2018,TREE ASSISTANCE PROGRAM,261746.0
